<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20101231,000000,9720.1700000,9814.9700000,9703.6300000,9777.4900000,8363
20110102,000000,9821.5800000,9882.2100000,9805.0500000,9871.1900000,1185
20110103,000000,9873.3900000,9916.3800000,9757.6500000,9769.7700000,15504
20110104,000000,9662.9114400,9743.3805860,9458.9827820,9718.0272930,0
20110105,000000,9572.4600000,9757.6500000,9458.9200000,9724.5800000,35946
20110106,000000,9726.7800000,9743.3200000,9465.5400000,9493.0900000,33250
20110107,000000,9490.8900000,9594.5100000,9370.7400000,9444.5900000,35304
20110109,000000,9449.0000000,9540.4900000,9431.3600000,9443.4900000,2774
20110110,000000,9442.3900000,9511.8300000,9378.4500000,9497.5000000,24493
20110111,000000,9499.7100000,9660.6400000,9468.8400000,9616.5500000,29175
20110112,000000,9616.5500000,9778.5900000,9608.8400000,9715.7600000,27551
20110113,000000,9722.3700000,9756.5500000,9573.5600000,9640.8000000,29615
20110114,000000,9640.8000000,9787.4100000,9583.4800000,9776.3900000,29079
20110116,000000,9767.5700000,9839.2200000,9683.7900000,9695.9200000,2698
20110117,000000,9692.6100000,9753.2400000,9626.4700000,9745.5200000,9598
20110118,000000,9748.8300000,9820.4800000,9689.3000000,9817.1700000,22918
20110119,000000,9818.2800000,9849.1400000,9584.5900000,9609.9400000,41184
20110120,000000,9606.6300000,9652.9300000,9322.2400000,9414.8300000,48574
20110121,000000,9413.7300000,9562.5400000,9389.4800000,9507.4200000,27701
20110123,000000,9499.7100000,9623.1700000,9499.7100000,9608.8400000,2939
20110124,000000,9607.7300000,9639.7000000,9467.7400000,9509.6300000,24759
20110125,000000,9510.7300000,9521.7500000,9277.0400000,9403.8100000,36099
20110126,000000,9407.1100000,9496.4000000,9312.3100000,9475.4600000,22890
20110127,000000,9475.4600000,9602.2200000,9442.3900000,9539.3900000,34069
20110128,000000,9539.3900000,9715.7600000,9486.4800000,9601.1200000,35465
20110130,000000,9591.2000000,9742.2200000,9559.2300000,9724.5800000,4388
20110131,000000,9722.3700000,9883.3100000,9678.2800000,9882.2100000,27467
20110201,000000,9883.3100000,10051.9600000,9850.2400000,10006.7700000,27660
20110202,000000,10008.9700000,10097.1600000,9956.0600000,10021.1000000,17572
20110203,000000,10029.9200000,10066.2900000,9952.7600000,10029.9200000,19413
20110204,000000,10027.7100000,10172.1200000,10000.1600000,10123.6200000,22677
20110206,000000,10096.0600000,10189.7500000,10096.0600000,10188.6500000,1115
20110207,000000,10188.6500000,10223.9300000,10002.3600000,10054.1700000,19473
20110208,000000,10050.8600000,10162.2000000,9934.0200000,10058.5800000,30658
20110209,000000,10057.4800000,10086.1400000,9899.8500000,10021.1000000,27671
20110210,000000,10020.0000000,10096.0600000,9899.8500000,10033.2300000,26018
20110211,000000,10033.2300000,10091.6500000,9878.9000000,10032.1200000,26339
20110213,000000,10033.2300000,10101.5700000,10016.6900000,10093.8500000,2945
20110214,000000,10091.6500000,10250.3800000,10083.9300000,10205.1900000,24424
20110215,000000,10208.4900000,10211.8000000,9918.5900000,9957.1700000,33742
20110216,000000,9952.7600000,10028.8200000,9835.9100000,9887.7200000,37486
20110217,000000,9888.8200000,9950.5500000,9734.5000000,9860.1600000,33167
20110218,000000,9861.2700000,9974.8000000,9746.6300000,9870.0800000,23991
20110220,000000,9895.4400000,9915.2800000,9814.9700000,9881.1100000,3301
20110221,000000,9883.3100000,9951.6500000,9762.0600000,9767.5700000,13532
